,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,6.765.508.586,146.448.048,134.198.751,"91,64","91,64"
FEV,6.429.092.435,133.635.334,137.423.365,"102,83","96,98"
MAR,6.828.981.986,149.196.906,136.366.595,"91,40","95,04"
ABR,7.044.505.454,147.872.318,137.396.315,"92,92","94,50"
MAI,7.415.202.437,157.408.039,138.101.341,"87,73","93,05"
JUN,7.224.108.433,156.362.154,146.875.654,"93,93","93,20"
JUL,7.044.100.176,172.508.863,144.820.123,"83,95","91,70"
AGO,7.325.138.185,164.470.783,148.013.916,"89,99","91,47"
SET,7.758.685.173,167.796.096,148.096.404,"88,26","91,09"
OUT,7.663.131.140,169.123.661,186.549.548,"110,30","93,16"
NOV,7.622.451.151,162.450.585,149.745.436,"92,18","93,07"
DEZ,8.490.630.153,176.959.756,149.891.997,"84,70","92,29"
TOTAL ACUM.,87.611.535.309,1.904.232.543,1.757.479.445,"92,29","92,29"
