,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,2.510.606.778,60.338.300,47.649.926,"78,97","78,97"
FEV,2.222.506.778,52.133.519,47.192.402,"90,52","84,33"
MAR,2.245.306.778,56.290.608,47.170.709,"83,80","84,15"
ABR,2.402.206.778,55.825.864,47.307.149,"84,74","84,30"
MAI,2.345.606.778,50.956.324,47.519.887,"93,26","85,95"
JUN,2.405.406.778,52.752.065,56.793.569,"107,66","89,44"
JUL,2.430.506.778,52.222.366,54.322.468,"104,02","91,44"
AGO,2.418.906.778,52.603.612,54.846.505,"104,26","93,00"
SET,2.480.206.778,53.759.533,54.380.709,"101,16","93,90"
OUT,2.520.006.778,56.132.597,54.482.254,"97,06","94,23"
NOV,2.591.706.778,58.318.445,56.106.522,"96,21","94,42"
DEZ,2.551.206.778,56.766.853,55.554.331,"97,86","94,72"
TOTAL ACUM.,29.124.181.336,658.100.086,623.326.431,"94,72","94,72"
