,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,1.679.774.187,44.183.587,31.187.750,"70,59","70,59"
FEV,1.512.653.300,36.592.159,31.231.178,"85,35","77,27"
MAR,1.522.775.939,36.510.926,30.793.755,"84,34","79,47"
ABR,1.596.749.075,38.948.431,37.055.435,"95,14","83,38"
MAI,1.597.235.741,39.370.778,33.568.067,"85,26","83,76"
JUN,1.606.774.382,38.937.153,34.855.673,"89,52","84,71"
JUL,1.618.941.016,41.687.690,34.117.557,"81,84","84,28"
AGO,1.674.323.535,45.522.936,34.382.860,"75,53","83,04"
SET,1.686.392.836,47.525.236,34.302.397,"72,18","81,64"
OUT,1.673.350.204,46.036.640,34.327.180,"74,56","80,86"
NOV,1.674.226.202,47.191.940,38.454.574,"81,49","80,92"
DEZ,1.703.718.123,49.192.165,36.823.392,"74,86","80,34"
TOTAL ACUM.,19.546.914.540,511.699.641,411.099.818,"80,34","80,34"
