,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN *,3.579.853.205,75.012.963,76.206.193,"101,59","101,59"
FEV *,3.278.053.205,75.012.963,69.787.978,"93,03","97,31"
MAR,3.476.753.205,91.208.312,69.556.645,"76,26","89,35"
ABR,3.562.653.205,76.785.549,69.733.076,"90,82","89,71"
MAI,3.541.453.205,79.298.157,70.621.893,"89,06","89,58"
JUN,3.568.353.205,83.451.632,73.030.027,"87,51","89,22"
JUL,3.578.253.205,87.103.601,72.289.793,"82,99","88,26"
AGO,3.587.253.205,85.273.537,73.049.883,"85,67","87,92"
SET,3.610.253.205,85.787.295,72.596.218,"84,62","87,54"
OUT,3.751.953.205,98.115.100,72.964.294,"74,37","86,00"
NOV,3.834.953.205,92.336.419,79.281.778,"85,86","85,98"
DEZ,3.879.953.205,92.778.646,76.835.951,"82,82","85,70"
TOTAL ACUM.,43.249.738.460,1.022.164.174,875.953.729,"85,70","85,70"
