,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,2.203.425.007,48.296.192,42.654.585,"88,32","88,32"
FEV,2.038.325.007,44.155.360,43.055.221,"97,51","92,71"
MAR,2.039.225.007,42.144.541,42.531.771,"100,92","95,28"
ABR,2.173.525.007,45.082.225,42.660.332,"94,63","95,12"
MAI,2.238.325.007,49.301.598,43.639.002,"88,51","93,69"
JUN,2.249.125.007,46.209.679,47.138.353,"102,01","95,09"
JUL,2.234.725.007,47.079.354,47.591.173,"101,09","95,97"
AGO,2.189.325.007,47.438.105,46.728.370,"98,50","96,29"
SET,2.203.125.007,48.190.690,46.558.117,"96,61","96,33"
OUT,2.265.125.007,53.171.890,47.044.704,"88,48","95,44"
NOV,2.308.425.007,64.844.279,46.925.762,"72,37","92,65"
DEZ,2.259.125.007,57.200.891,47.039.101,"82,23","91,65"
TOTAL ACUM.,26.401.800.084,593.114.802,543.566.491,"91,65","91,65"
