,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,5.736.502.454,149.008.264,104.901.550,"70,40","70,40"
FEV,5.700.813.154,123.231.400,105.122.013,"85,30","77,15"
MAR,5.992.416.855,132.471.317,105.813.818,"79,88","78,04"
ABR,5.985.759.980,128.716.783,105.736.426,"82,15","79,03"
MAI,6.129.801.014,134.975.290,111.294.566,"82,46","79,72"
JUN,6.161.869.711,133.920.042,120.636.698,"90,08","81,45"
JUL,6.077.716.916,131.930.492,117.569.453,"89,11","82,53"
AGO,6.117.898.499,133.785.789,118.187.836,"88,34","83,26"
SET,6.183.108.975,138.937.696,117.811.889,"84,79","83,44"
OUT,6.241.195.529,144.906.129,117.897.867,"81,36","83,22"
NOV,6.646.839.272,146.612.231,118.340.094,"80,72","82,97"
DEZ,6.673.906.865,138.397.330,117.821.149,"85,13","83,15"
TOTAL ACUM.,73.647.829.224,1.636.892.763,1.361.133.359,"83,15","83,15"
Notas:,,,,,
