,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,7.524.789.905,154.792.580,151.030.885,"97,57","97,57"
FEV,7.032.670.267,148.115.361,152.818.633,"103,18","100,31"
MAR,7.272.379.121,163.437.997,151.573.067,"92,74","97,66"
ABR,7.627.522.394,162.312.145,151.366.912,"93,26","96,52"
MAI,7.514.851.413,149.943.525,150.996.382,"100,70","97,33"
JUN,7.545.554.391,160.023.693,150.713.413,"94,18","96,79"
JUL,7.590.735.603,159.784.190,150.123.408,"93,95","96,38"
AGO,7.766.955.434,163.988.067,161.270.223,"98,34","96,63"
SET,7.970.000.428,160.317.337,170.095.699,"106,10","97,70"
OUT,8.094.275.433,167.484.890,155.000.728,"92,55","97,16"
NOV,8.001.456.395,168.892.430,154.338.894,"91,38","96,60"
DEZ,8.145.352.387,167.322.335,158.611.961,"94,79","96,45"
TOTAL ACUM.,92.086.543.171,1.926.414.550,1.857.940.205,"96,45","96,45"
