,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,1.837.648.433,45.025.351,37.216.131,"82,66","82,66"
FEV,1.510.025.307,36.571.360,38.851.359,"106,23","93,22"
MAR,1.941.113.490,45.467.586,39.269.019,"86,37","90,77"
ABR,1.885.049.640,44.814.658,39.405.920,"87,93","90,03"
MAI,1.928.557.524,45.314.162,39.001.016,"86,07","89,20"
JUN,1.963.208.098,46.657.071,42.086.590,"90,20","89,38"
JUL,2.000.973.331,46.999.803,41.213.076,"87,69","89,12"
AGO,1.982.188.047,45.347.235,42.218.360,"93,10","89,63"
SET,2.024.722.601,45.522.532,42.218.024,"92,74","89,98"
OUT,2.041.463.889,45.487.084,42.438.981,"93,30","90,32"
NOV,2.069.885.147,46.653.010,42.311.269,"90,69","90,36"
DEZ,2.061.903.835,44.355.644,42.180.673,"95,10","90,75"
TOTAL ACUM.,23.246.739.342,538.215.497,488.410.418,"90,75","90,75"
