,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,1.679.774.187,40.926.190,31.187.750,"76,20","76,20"
FEV,1.512.653.300,33.309.775,31.231.178,"93,76","84,08"
MAR,1.522.775.939,34.005.992,30.793.755,"90,55","86,12"
ABR,1.596.749.075,36.657.727,37.055.435,"101,08","89,90"
MAI,1.597.235.741,37.374.026,33.568.067,"89,82","89,88"
JUN,1.606.774.382,36.613.611,34.855.673,"95,20","90,77"
JUL,1.618.941.016,38.545.560,34.117.557,"88,51","90,43"
AGO,1.674.323.535,40.893.352,34.382.860,"84,08","89,56"
SET,1.686.392.836,44.874.237,34.302.397,"76,44","87,85"
OUT,1.673.350.204,43.827.474,34.327.180,"78,32","86,77"
NOV,1.674.226.202,45.424.608,38.454.574,"84,66","86,55"
DEZ,1.703.718.123,49.517.940,36.823.392,"74,36","85,30"
TOTAL ACUM.,19.546.914.540,481.970.492,411.099.818,"85,30","85,30"
