,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,2.607.790.167,67.824.771,55.866.052,"82,37","82,37"
FEV,2.438.650.167,55.709.440,56.374.565,"101,19","90,86"
MAR,2.487.650.167,55.356.299,56.125.238,"101,39","94,12"
ABR,2.583.450.167,57.085.241,56.100.760,"98,28","95,12"
MAI,2.476.950.167,58.467.512,55.230.281,"94,46","94,99"
JUN,2.486.950.167,61.251.588,55.454.198,"90,54","94,22"
JUL,2.594.350.167,66.106.637,55.510.703,"83,97","92,62"
AGO,2.560.750.167,62.214.108,59.832.446,"96,17","93,07"
SET,2.727.150.167,68.144.314,59.207.987,"86,89","92,31"
OUT,2.772.550.167,67.929.230,58.425.081,"86,01","91,62"
NOV,2.851.850.167,68.506.749,58.647.022,"85,61","91,02"
DEZ,2.806.450.167,67.434.354,59.247.403,"87,86","90,74"
TOTAL ACUM.,31.394.542.004,756.030.243,686.021.736,"90,74","90,74"
