,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,2.915.315.114,70.950.839,60.599.705,"85,41","85,41"
FEV,2.651.315.114,63.293.842,62.470.901,"98,70","91,68"
MAR,2.735.215.114,66.067.716,61.876.022,"93,66","92,33"
ABR,2.909.715.114,69.322.201,61.187.005,"88,26","91,28"
MAI,2.922.615.114,68.810.521,61.389.121,"89,21","90,86"
JUN,2.972.315.114,68.468.921,65.344.662,"95,44","91,63"
JUL,3.008.315.114,68.915.387,64.647.722,"93,81","91,95"
AGO,3.002.715.114,67.576.813,64.953.043,"96,12","92,47"
SET,3.106.415.114,70.863.004,64.520.433,"91,05","92,30"
OUT,3.177.715.114,72.622.953,64.538.765,"88,87","91,94"
NOV,3.238.415.114,73.322.086,67.624.303,"92,23","91,97"
DEZ,3.091.715.114,68.759.204,66.655.252,"96,94","92,38"
TOTAL ACUM.,35.731.781.368,828.973.487,765.806.934,"92,38","92,38"
Notas:,,,,,
