,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,3.418.389.928,82.061.627,67.532.711,"82,30","82,30"
FEV,2.775.889.928,58.693.763,68.044.868,"115,93","96,32"
MAR,3.539.489.928,76.255.014,67.095.532,"87,99","93,39"
ABR,3.391.102.594,74.206.007,67.533.531,"91,01","92,79"
MAI,3.324.002.594,70.475.074,67.687.061,"96,04","93,42"
JUN,3.378.702.594,74.177.972,68.233.349,"91,99","93,18"
JUL,3.334.902.594,77.041.569,68.071.610,"88,36","92,45"
AGO,3.292.402.594,70.903.035,68.598.567,"96,75","92,97"
SET,3.371.902.594,75.313.182,67.949.029,"90,22","92,66"
OUT,3.421.502.594,77.466.763,68.150.249,"87,97","92,17"
NOV,3.525.602.594,86.443.033,68.248.875,"78,95","90,78"
DEZ,3.445.302.594,89.659.976,70.503.050,"78,63","89,59"
TOTAL ACUM.,40.219.193.130,912.697.015,817.648.432,"89,59","89,59"
