,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,2.203.425.007,49.826.853,42.654.585,"85,61","85,61"
FEV,2.038.325.007,45.844.644,43.055.221,"93,92","89,59"
MAR,2.039.225.007,43.833.825,42.531.771,"97,03","91,93"
ABR,2.173.525.007,46.771.509,42.660.332,"91,21","91,75"
MAI,2.238.325.007,50.990.882,43.639.002,"85,58","90,42"
JUN,2.249.125.007,47.898.963,47.138.353,"98,41","91,76"
JUL,2.234.725.007,48.768.638,47.591.173,"97,59","92,61"
AGO,2.189.325.007,49.127.389,46.728.370,"95,12","92,93"
SET,2.203.125.007,49.879.974,46.558.117,"93,34","92,98"
OUT,2.265.125.007,54.870.473,47.044.704,"85,74","92,17"
NOV,2.308.425.007,66.533.563,46.925.762,"70,53","89,57"
DEZ,2.259.125.007,58.890.175,47.039.101,"79,88","88,64"
TOTAL ACUM.,26.401.800.084,613.236.886,543.566.491,"88,64","88,64"
Notas:,,,,,
