,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,5.194.274.984,133.716.203,93.555.232,"69,97","69,97"
FEV,4.409.412.481,90.346.635,93.816.768,"103,84","83,62"
MAR,4.625.544.337,119.597.246,95.620.934,"79,95","82,35"
ABR,4.634.309.483,118.676.301,95.130.015,"80,16","81,79"
MAI,4.623.103.950,122.806.931,101.401.310,"82,57","81,95"
JUN,4.833.768.673,122.220.711,104.885.414,"85,82","82,62"
JUL,4.985.720.089,127.512.869,102.669.599,"80,52","82,30"
AGO,5.078.743.950,124.341.654,104.298.066,"83,88","82,50"
SET,5.216.964.321,127.788.035,104.005.746,"81,39","82,37"
OUT,5.208.379.689,127.327.509,104.043.243,"81,71","82,30"
NOV,5.376.635.621,129.348.595,104.324.123,"80,65","82,14"
DEZ,5.386.201.362,129.901.927,104.544.970,"80,48","82,00"
TOTAL ACUM.,59.573.058.940,1.473.584.616,1.208.295.420,"82,00","82,00"
