,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,3.495.034.823,89.715.671,85.095.720,"94,85","94,85"
FEV,5.859.365.812,137.386.110,85.792.601,"62,45","75,25"
MAR,4.507.852.529,74.521.634,86.838.409,"116,53","85,45"
ABR,4.678.664.750,101.952.557,86.230.268,"84,58","85,23"
MAI,4.359.957.150,88.745.384,91.832.101,"103,48","88,52"
JUN,4.310.553.021,97.782.064,93.677.877,"95,80","89,72"
JUL,4.493.193.166,105.801.742,91.745.368,"86,71","89,27"
AGO,4.879.195.737,112.175.453,92.784.520,"82,71","88,36"
SET,4.835.432.359,106.286.829,92.269.842,"86,81","88,18"
OUT,4.971.130.496,114.594.266,92.409.796,"80,64","87,34"
NOV,5.093.824.257,118.685.428,92.782.357,"78,18","86,39"
DEZ,5.055.870.957,115.566.454,92.789.914,"80,29","85,83"
TOTAL ACUM.,56.540.075.057,1.263.213.592,1.084.248.773,"85,83","85,83"
Notas:,,,,,
